university,percentage,group
Cambridge University,0.008571428571428572,billionaire
Columbia University,0.008571428571428572,billionaire
Harvard University,0.09142857142857143,billionaire
New York University,0.01,billionaire
Oxford University,0.007142857142857143,billionaire
University of Pennsylvania,0.025714285714285714,billionaire
Yale University,0.011428571428571429,billionaire
Cambridge University,0.02772917835803651,noteworthy
Columbia University,0.008175706158738543,noteworthy
Harvard University,0.04652339924515014,noteworthy
New York University,0.007207385644648378,noteworthy
Oxford University,0.022073306264373507,noteworthy
University of Pennsylvania,0.005578846598224012,noteworthy
Yale University,0.013083330582422783,noteworthy

