networth,education
2.6E9,St Paul's School London
2.15E9,Robert Gordon's College
4.1E9,London Business School
3.6E9,University of Southern California
1.0E7,Ovidius University
1.2E9,Ștefan Gheorghiu Academy
7.45E8,Merchiston Castle School
2.8E8,Princeton University
1.3E9,Master mariner
1.0E9,Florida State University
1.0E8,St Catharine's College Cambridge
2.43E7,Washington Tyne and Wear
1.53E8,National Mining University of Ukraine
2.5E9,Taft School
3.0E8,Williams College
1.57E10,Far Eastern University
1.5E9,Williams College
7.4E9,Choate Rosemary Hall
1.84E9,Choate Rosemary Hall
4.0E9,Playwright
1.5E9,Stockholm School of Economics
2.7E9,Naval architecture
2.36E10,Yale University
4.0E9,Yale University
16510.0,Roedean School
1.0E8,Texas A&M University
100.0,St Mary's Catholic Academy
6.0E8,Honorary_Degree_Doctor_of_Entrepreneurship
5.8E9,Indiana University Bloomington
6.3E7,Mount Scopus Memorial College
1.15E9,Harvard University
500000.0,University of California Los Angeles
1.12E8,Autodidacticism
1.9E9,Stanford University
9.8E9,St Hilda's Anglican School for Girls
9.0E7,Sehome High School
8.1E9,Mount Roskill Grammar School
4.6E8,Australian National University
3.4E9,Duke University
3.1E9,Lawrence Technological University
7.6E9,Michigan State University
1.25E8,King's College School
3.60653E8,University of Arkansas
2.1E9,University of Florida
1.04E9,Perth High School
4.6E9,Lincoln University (Missouri)
6.9E8,Park Tudor School
3.1E9,Ampleforth College
3.4E9,Dartmouth College
4.6E9,Hotchkiss School
2.2E9,Carnegie Mellon University
2.4E9,Moscow State University
1.1E9,Bachelor of Arts
1.2E9,Lviv Academy of Commerce
1.69E9,University of the Pacific (United States)
1.5E9,University of California Los Angeles
3.25E10,Trinity University (Texas)
73347.0,Hillhead High School
0.0,Eastern Hills High School
1.3E9,Bachelor of Commerce
3.9E9,Redding California
1.81E9,University of Arizona
49907.0,Bachelor of Arts
1.37E10,Hobart and William Smith Colleges
6.0E8,California Institute of Technology
1.5E9,Eton College
2400000.0,Boston Latin School
2.4E9,Eton College
1.2E9,University of Southern California
1.0E9,Dartmouth College
1.0E9,Fettes College
2.91E10,Liaoning University
6.1E10,Economics
2.9E9,Yale University
7.2E7,Columbia College Columbia University
1.4E9,Yale University
2.5E9,Dartmouth College
13000.0,Silcoates School
2.6E9,Phoenix Country Day School
10.0,Cornell University
1.25E10,Civil engineer
11.0,Journeys School
6.0E8,George Washington University
2.3E9,University of Pennsylvania
