name,networth,education
Nancy_Walton_Laurie,4.1E9,University of Memphis
Nassef_Sawiris,5.9E9,Deutsche Schule der Borromäerinnen Kairo
Nathan_Blecharczyk,1.9E9,Harvard University
Nathan_Kirsh,3.7E9,Potchefstroom High School for Boys
Nelson_Peltz,1.35E9,Wharton School of the University of Pennsylvania
Nichola_Pease,1.1E9,University of Exeter
Nicholas_Schorsch,1.6E9,Drexel University
Nick_Leslau,2.0E8,Mill Hill School
Nigella_Lawson,15.0,Middle Ages
Nigella_Lawson,15.0,Modern language
Nigella_Lawson,15.0,Master of Arts (Oxbridge and Dublin)
N._Murray_Edwards,2.2E9,University of Saskatchewan
N._Murray_Edwards,2.2E9,University of Toronto
Nadhmi_Auchi,1.5E9,Baghdad College
Sean_Parker,2.5E9,Oakton High School
Sean_Parker,2.5E9,Chantilly High School
Sergio_Mantegazza,4.4E9,Gademann_Business_School
Sergio_Mantegazza,4.4E9,Istituto Elvetico Salesiani Don Bosco
Shahid_Khan,6.4E9,Mechanical engineering
Sheila_Johnson,1.0E9,Proviso East High School
Shoichiro_Toyoda,4.0E8,Tohoku University
Shoichiro_Toyoda,4.0E8,Nagoya University
Sid_Bass,3.0E9,Yale University
Sid_Bass,3.0E9,Stanford Graduate School of Business
Sidney_Kimmel,1.35E9,Temple University
Simon_Cowell,3.25E8,Dover College
Simon_Keswick,1.75E9,Eton College
Simon_Nixon,9.45E8,St Richard Gwyn Catholic High School Flint
Soichiro_Fukutake,1.4E9,Waseda University
Solomon_Lew,1.2E9,Mount Scopus Memorial College
Sri_Prakash_Lohia,4.2E9,Bachelor of Commerce
"Stanley_Fink,_Baron_Fink",1.8E8,Trinity Hall Cambridge
"Stanley_Fink,_Baron_Fink",1.8E8,Manchester Grammar School
Stefan_Persson_(magnate),2.41E10,Stockholm University
Stephanie_McMahon,5.4E7,Greenwich Country Day School
Stephen_Hillenburg,9.0E7,Savanna High School
Stephen_Mandel_(hedge_fund_manager),1.8E9,Dartmouth College
Stephen_Mandel_(hedge_fund_manager),1.8E9,Harvard University
Stephen_Rubin,1.75E9,Canford School
Steve_Bisciotti,3.3E9,Salisbury University
Steven_R._Karp,1.0E9,Boston University
Steven_Roth,1.0E9,Dartmouth College
Steven_Roth,1.0E9,Tuck School of Business
Steven_Spielberg,3.6E9,Saratoga High School (California)
S._D._Shibulal,1.08E9,Master of Science
S._Robson_Walton,3.21E10,Columbia Law School
S._Robson_Walton,3.21E10,University of Arkansas
Safra_A._Catz,5.25E8,University of Pennsylvania
Safra_A._Catz,5.25E8,University of Pennsylvania Law School
Sandro_Veronesi_(Entrepreneur),1.8E9,University of Verona
Sanford_Diller,1.3E9,University of California Berkeley
Sanford_Diller,1.3E9,University of California Hastings College of the Law
Stewart_Resnick,4.2E9,University of California Los Angeles
Stewart_Resnick,4.2E9,Juris Doctor
Stuart_A._Miller,9.0E8,University of Miami
Stuart_A._Miller,9.0E8,Harvard Business School
Suat_Günsel,1.1E9,Educational psychology
Sudhir_Ruparelia,8.0E8,A-level
Susanne_Klatten,1.5E10,International Institute for Management Development
Sylvester_Stallone,4.0E8,University of Miami
Daryl_Katz,3.5E9,Juris Doctor
Daryl_Katz,3.5E9,Bachelor of Arts and Science
David_Bonderman,2.6E9,University of Washington
David_Bonderman,2.6E9,Harvard Law School
David_Gottesman,1.76E9,Trinity College (Connecticut)
David_Gottesman,1.76E9,Harvard University
David_Harding_(financier),1.0E9,Pangbourne College
David_Koch,4.33E10,Chemical engineering
David_Koch,4.33E10,Master of Science
David_Rockefeller,3.0E9,Doctor of Philosophy
David_Rockefeller,3.0E9,Bachelor of Arts
David_Ross_(businessman),1.0E9,Uppingham School
DeShawn_Snow,1500000.0,Wayne Memorial High School
Declan_Donnelly,62.0,St Cuthbert's High School
Ding_Shijia,1.0E9,Businessperson
Dinu_Patriciu,2.7E9,Ion Mincu University of Architecture and Urbanism
Dmitry_Kamenshchik,4.8E9,Moscow State University
Dmitry_Troitsky,1.0E9,Bachelor of Arts
Doug_Richard,7.5E7,University of California
"Drayton_McLane,_Jr.",2.0E9,Michigan State University
"Drayton_McLane,_Jr.",2.0E9,Baylor University
A._Alfred_Taubman,3.1E9,Lawrence Technological University
A._Alfred_Taubman,3.1E9,Taubman College of Architecture and Urban Planning
Andrew_Beal,7.6E9,Michigan State University
Andrew_Beal,7.6E9,Baylor University
Andrew_Black_(gambling_entrepreneur),1.25E8,King's College School
Andrew_Tilles,3.60653E8,University of Arkansas
Anita_Zucker,2.1E9,University of Florida
Anita_Zucker,2.1E9,University of North Florida
Ann_Gloag,1.04E9,Perth High School
Ann_Walton_Kroenke,4.6E9,Lincoln University (Missouri)
Anne_Hendricks_Bass,6.9E8,Park Tudor School
Anthony_Bamford,3.1E9,Ampleforth College
Anthony_Pritzker,3.4E9,Dartmouth College
Anthony_Pritzker,3.4E9,University of Chicago
Alejandro_Santo_Domingo,4.6E9,Hotchkiss School
Alexander_Knaster,2.2E9,Carnegie Mellon University
Alexander_Knaster,2.2E9,Harvard Business School
Alexander_Mamut,2.4E9,Moscow State University
Alexander_Putilov,1.1E9,Bachelor of Arts
Alexander_Rovt,1.2E9,Lviv Academy of Commerce
Alexander_Spanos,1.69E9,University of the Pacific (United States)
Alfred_E._Mann,1.5E9,University of California Los Angeles
Alice_Walton,3.25E10,Trinity University (Texas)
Alistair_MacLean,73347.0,Hillhead High School
Alistair_MacLean,73347.0,Inverness Royal Academy
Alistair_MacLean,73347.0,Daviot_School
Allen_Stanford,0.0,Eastern Hills High School
Allen_Stanford,0.0,Baylor University
Allen_Stanford,0.0,Finance
Allen_Stanford,0.0,Bachelor of Arts
Aloke_Lohia,1.3E9,Bachelor of Commerce
Archie_Aldis_Emmerson,3.9E9,Redding California
Arte_Moreno,1.81E9,University of Arizona
Arthur_Wagner,49907.0,Bachelor of Arts
Abigail_Johnson,1.37E10,Hobart and William Smith Colleges
Abigail_Johnson,1.37E10,Harvard Business School
Adam_D'Angelo,6.0E8,California Institute of Technology
Adam_D'Angelo,6.0E8,Phillips Exeter Academy
Adam_Fleming_(businessman),1.5E9,Eton College
Adolphus_W._Green,2400000.0,Boston Latin School
Adrian_Swire,2.4E9,Eton College
Adrian_Swire,2.4E9,Wellesley House School
Alan_Casden,1.2E9,University of Southern California
Alan_Leventhal,1.0E9,Dartmouth College
Alan_Leventhal,1.0E9,Northwestern University
Alastair_Salvesen,1.0E9,Fettes College
Qasim_Ibrahim,6.0E8,Honorary_Degree_Doctor_of_Entrepreneurship
Yashoda_Naidoo,1800000.0,University of Natal
Yashoda_Naidoo,1800000.0,University of South Africa
Yoshikazu_Tanaka,1.9E9,Nihon University
Şevket_Sabancı,7.0,Textile manufacturing
Edgar_E._Rand,2523854.0,Webb School (Bell Buckle Tennessee)
Edmund_Ansin,1.4E9,University of Pennsylvania
Edmund_Ansin,1.4E9,Wharton School of the University of Pennsylvania
Edward_Harkness,1.55E8,St Paul's School London
Edward_Harkness,1.55E8,Columbia Law School
Edward_Harkness,1.55E8,Yale College
"Edward_J._DeBartolo,_Jr.",2.7E9,University of Notre Dame
"Edward_Johnson,_III",7.5E9,Milton Academy
"Edward_Johnson,_III",7.5E9,Tabor Academy (Massachusetts)
Edward_Julius_Berwind,3.5E7,United States Naval Academy
Edward_W._Stack,1.15E9,St. John Fisher College
Edwin_Davies,100.0,Farnworth Grammar School
Ellis_Abraham_Franklin,511000.0,Manchester Grammar School
Elon_Musk,1.07E10,Pretoria Boys High School
Elon_Musk,1.07E10,Waterkloof House Preparatory School
Elwood_Haynes,2850000.0,Chemistry
Elwood_Haynes,2850000.0,Metallurgy
Elwood_Haynes,2850000.0,Biology
Emil_Hurezeanu,6.0,Master of Arts
Emmanuel_Besnier,6.7E9,Lycée_de_l'Immaculée-Conception
Enrique_K._Razon,5.5E9,De La Salle University
Enrique_K._Razon,5.5E9,Business administration
Eric_Lefkofsky,1.7E9,University of Michigan
Eric_Schmidt,1.03E10,Princeton University
