name,networth,education,country
Charles_Mbire,200,University of Essex,UK
Charles_Mbire,200,University of Leicester,UK
Charles_R._Schwab,5300000000,Stanford University,USA
Charles_Sirois,811000000,Laval University,Canada
Charles_Sirois,811000000,Université de Sherbrooke,Canada
"Charles_W._Engelhard,_Jr.",250000000,University of Oxford,UK
Charlie_Munger,1210000000,California Institute of Technology,USA
Charlie_Munger,1210000000,University of Michigan,USA
Charlie_Munger,1210000000,Berkshire Hathaway,NA
Charlie_Munger,1210000000,Wesco Financial,NA
Charlie_Munger,1210000000,Daily Journal Corporation,NA
Charlie_Munger,1210000000,Harvard Law School,USA
Chase_Coleman_III,2300000000,Deerfield Academy,NA
Chen_Fashu,3000000000,China Europe International Business School,China
Chen_Guangbiao,400000000,Master of Business Administration,NA
Chen_Guangbiao,400000000,Peking University,China
Chen_Guangbiao,400000000,Tsinghua University,China
Chen_Guangbiao,400000000,Nanjing University,China
Chen_Guangbiao,400000000,Nanjing University of Chinese Medicine,China
Chen_Jianqiang,780000000,Master of Business Administration,NA
Chen_Jianqiang,780000000,China Europe International Business School,China
Cheng_Wai_Keung,755000000,University of Chicago,USA
Cheng_Wai_Keung,755000000,Indiana University,USA
Cher_Wang,8800000000,University of California,USA
Chey_Tae-won,4200000000,University of Chicago,USA
Chris_Evans_(presenter),50000000,University Academy Warrington,USA
Chris_Evans_(presenter),50000000,Sir Thomas Boteler Church of England High School,NA
Chris_Hohn,1100000000,University of Southampton,UK
Chris_Hohn,1100000000,Harvard Business School,USA
Chris_Rokos,1,University of Oxford,UK
Chris_Rokos,1,Eton College,NA
Christoffel_Wiese,5300000000,Paarl Boys' High School,NA
Chung_Mong-koo,6800000000,Hanyang University,South Korea
Chung_Mong-koo,6800000000,Hanyang University,South Korea
Chung_Yong-jin,1300000000,Brown University,USA
C._Dean_Metropoulos,2400000000,Babson College,USA
Craig_McCaw,1840000000,Stanford University,USA
Craig_Newmark,400000000,Case Western Reserve University,USA
Crispin_Odey,1100000000,Christ Church Oxford,UK
Cyrus_S._Poonawalla,8500000000,Brihan Maharashtra College of Commerce,India
Caleb_Chan,980000000,University of California Berkeley,USA
Caleb_Chan,980000000,University of San Francisco,USA
Cargill_MacMillan_Jr,2600000000,Yale University,USA
Carl_Bennet,2800000000,University of Gothenburg,Sweeden
Carl_Icahn,17000000000,Princeton University,USA
Carl_Icahn,17000000000,New York University School of Medicine,USA
Carlos_Bulgheroni,5100000000,University of Buenos Aires,Argentina
Carlos_Slim,53000000000,Civil engineering,NA
Carlos_Slim,53000000000,National Autonomous University of Mexico,Mexico
Chad_Hurley,355000000,Indiana University of Pennsylvania,USA
Charlene_de_Carvalho-Heineken,13400000000,Rijnlands Lyceum Foundation,NA
