education,country,education_count
A-level,NA,1
Al-Azhar University,Egypt,1
Al-Mustansiriya University,Iraq,1
Alexandria University,Egypt,1
Alfred State College,USA,1
Alice Smith School,NA,1
Amherst College,USA,5
Ampleforth College,UK,1
An-Najah National University,Palestine,1
Anglia Ruskin University,UK,1
Anthropology,NA,1
Aoyama Gakuin University,Japan,1
Ardingly College,NA,1
Arya Vidya Mandir,NA,1
Ateneo de Manila University,Philippines,1
Auburn University,USA,1
Auckland,NA,1
Australian National University,Australia,2
Autodidacticism,NA,1
Azerbaijan State University of Oil and Industry,Azerbaijan,1
Babeș-Bolyai University,Romania,1
Babson College,USA,5
Bachelor of Arts,NA,12
Bachelor of Arts and Science,NA,1
Bachelor of Civil Law,NA,1
Bachelor of Commerce,NA,3
Bachelor of Economics,NA,1
Bachelor of Science,NA,11
Bachelor's degree,NA,1
Baghdad College,NA,1
Baker University,USA,1
Ball State University,USA,1
Balliol College Oxford,UK,1
Baruch College,USA,1
Basic Education High School No. 6 Botataung,NA,1
Baylor University,USA,4
Beijing_Non-Ferrous_Research_Institute,China,1
Berkshire Hathaway,NA,1
Berkshire School,NA,1
Berry Hill High School and Sports College,NA,1
Beverley Grammar School,NA,1
Bienen School of Music,USA,1
Binghamton University,USA,1
Biology,NA,1
Birkbeck University of London,UK,1
Birla Institute of Technology and Science,India,1
Blake School (Minneapolis),NA,1
Booth School of Business,USA,3
Boston College,USA,2
Boston Latin School,NA,1
Boston University,USA,8
Bowdoin College,USA,4
Bradford Grammar School,NA,1
Brandeis University,USA,1
Brea Olinda High School,NA,1
Brigham Young University,USA,2
Brihan Maharashtra College of Commerce,India,1
Brooklyn College,USA,1
Brother Martin High School,NA,1
Brother Rice High School (Chicago),NA,1
Brown University,USA,3
Bryn Mawr College,USA,2
Buckley School (California),NA,1
Bucknell University,USA,3
Business administration,NA,1
Businessperson,NA,1
Byam Shaw School of Art,UK,1
California Institute of Technology,USA,2
California Institute of the Arts,USA,1
California State University,USA,2
California State University Fullerton,USA,1
California State University Long Beach,USA,1
California State University Los Angeles,USA,1
California State University Northridge,USA,1
California State University Sacramento,USA,1
Canford School,NA,1
Cardiff University,UK,1
Carleton University,Canada,2
Carnegie Mellon University,USA,5
Carroll University,USA,1
Case Western Reserve University,USA,1
Casimirianum Coburg,NA,1
Cass Business School,UK,1
Cathedral and John Connon School,NA,1
Central South University,China,1
Chabot College,NA,1
Changchun University of Science and Technology,China,1
Chantilly High School,NA,1
Chartered accountant,NA,1
Chemical engineering,NA,3
Chemistry,NA,1
Chestnut Grove Academy,NA,1
Cheung Kong Graduate School of Business,China,1
Chiang Kai Shek College,Philippines,2
China Europe International Business School,China,2
Choate Rosemary Hall,NA,2
Christ Church Oxford,UK,2
Christ's College Cambridge,UK,1
City College Brighton & Hove,UK,1
City College of New York,USA,4
City University London,UK,2
City of London School,NA,1
Civil engineer,NA,1
Civil engineering,NA,1
Claremont McKenna College,USA,2
Clark University,USA,4
Clarke Central High School,NA,1
Clitheroe Royal Grammar School,NA,1
Coleg Glan Hafren,UK,1
Colegio Santa María del Pilar,NA,1
Colgate University,USA,1
Colorado College,USA,1
Colorado School of Mines,USA,1
Columbia Business School,USA,6
Columbia College Columbia University,USA,1
Columbia Law School,USA,5
Columbia University,USA,17
Communication University of China,China,1
Computer science,NA,1
Cornell University,USA,8
Cranbrook School Sydney,NA,1
Creighton University,USA,1
Culver Academies,NA,1
Czech Technical University in Prague,Czech Republic,1
D. Mendeleev University of Chemical Technology of Russia,RUssia,2
Daily Journal Corporation,NA,1
Dartmouth College,USA,9
Daviot_School,NA,1
De Anza College,USA,1
De La Salle College Dundalk,Philippines,1
De La Salle University,Philippines,3
DePaul University College of Law,USA,1
DePauw University,USA,1
Deerfield Academy,NA,1
Denison University,USA,1
Deutsche Schule Istanbul,NA,1
Deutsche Schule der Borromäerinnen Kairo,NA,1
Dhaka College,Bangladesh,1
Dickinson College,USA,1
Doctor of Humane Letters,NA,1
Doctor of Medicine,NA,1
Doctor of Philosophy,NA,6
Doctor of Science,NA,1
Dongbei University of Finance and Economics,China,1
Dover College,NA,2
Drexel University,USA,1
Dufferin_(school),NA,1
Duke University,USA,8
Dulwich College,NA,1
Dunman High School,NA,1
ETH Zurich,Switzerland,2
East Carolina University,USA,1
Eastern Hills High School,NA,1
Eastern Michigan University,USA,1
Economics,NA,3
Educational psychology,NA,1
Ege University,Turkey,1
Eighth grade,NA,1
Electrical engineering,NA,1
Elphinstone College,India,1
Epsom College,NA,1
Erasmus Hall High School,NA,1
Ethical Culture Fieldston School,NA,1
Eton College,NA,8
European Business School London,UK,1
Fairfield Grammar School,NA,1
Far Eastern University,Philippines,2
Farnworth Grammar School,NA,1
Fashion Institute of Design & Merchandising,USA,1
Fashion Institute of Technology,USA,1
Federal University of Minas Gerais,Brazil,1
Federal University of Rio Grande do Sul,Brazil,1
Federal University of Rio de Janeiro,Brazil,2
Fettes College,NA,1
Finance,NA,2
Financial University under the Government of the Russian Federation,Russia,2
Finchley Catholic High School,NA,1
Florida International University,USA,1
